pair_id,split,label,pair_type,mutation,first_document_id,second_document_id,first_topic,second_topic,first_text,second_text
test-00001,test,1,near_duplicate,combined_light,doc-0245,doc-0245-variant,travel,travel,Der Zug erreicht den Hauptbahnhof am frühen Nachmittag. Der Reiseführer erklärt die Geschichte der wichtigsten Gebäude. Das Wetter kann sich in den Bergen innerhalb kurzer Zeit ändern. Lokale Märkte bieten regionale Speisen und handwerkliche Produkte. Das Hotel liegt in der Nähe des historischen Stadtzentrums. Mit einer Tageskarte lassen sich Busse und Bahnen flexibel nutzen.,Der Zug den Hauptbahnhof am frühen Das Wetter kann sich in den Bergen innerhalb kurzer Zeit ändern. Der Reiseführer erklärt die Geschichte der wichtigsten Gebäude. Lokale Märkte bieten regionale Speisen und handwerkliche Produkte. Das Hotel liegt in der Nähe des historischen Stadtzentrums. Mit einer Tageskarte lassen sich Busse und Bahnen flexibel verwenden.
test-00002,test,0,easy_negative_different_topic,none,doc-0283,doc-0296,environment,work,"Viele Haushalte trennen Papier, Glas und Bioabfall. Naturnahe Flächen bieten Insekten und Vögeln wichtigen Lebensraum. Solaranlagen liefern auch an kühlen Tagen elektrische Energie. Kleine Veränderungen im Alltag senken den persönlichen Energieverbrauch. Die Messstation erfasst Luftqualität und Lärm zu verschiedenen Tageszeiten. Regionale Produkte vermeiden lange Transportwege.","Wissen wird in verständlichen Dokumenten für andere festgehalten. Klare Zuständigkeiten verhindern doppelte Arbeit. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben. Eine realistische Planung berücksichtigt auch unerwartete Probleme. Automatisierung reduziert wiederkehrende manuelle Tätigkeiten. Ein kurzes Protokoll hält Entscheidungen und offene Punkte fest. Ein ruhiger Arbeitsplatz unterstützt konzentriertes Arbeiten. Das Team bespricht am Morgen die wichtigsten Aufgaben des Tages."
test-00003,test,0,easy_negative_different_topic,none,doc-0272,doc-0294,technology,health,Die Konfiguration wird getrennt vom Programmcode verwaltet. Der Dienst verarbeitet viele kleine Anfragen parallel. Eine Warteschlange entkoppelt langsame Hintergrundaufgaben. Das Entwicklungsteam überwacht die Anwendung mit automatisierten Metriken. Ein klarer Vertrag zwischen Modulen verhindert unnötige Abhängigkeiten. Ein Versionssystem dokumentiert jede Änderung am Quellcode. Die Daten werden verschlüsselt übertragen und nur kurz zwischengespeichert. Automatisierte Tests prüfen zentrale Funktionen vor jeder Veröffentlichung. Protokolle helfen bei der Suche nach seltenen Fehlern.,"Sauberes Trinkwasser ist eine wichtige Grundlage der Gesundheit. Regelmäßige Bewegung stärkt den Kreislauf und verbessert die Ausdauer. Regelmäßiges Lüften verbessert die Luft in geschlossenen Räumen. Kurze Pausen helfen bei langer Arbeit am Bildschirm. Soziale Kontakte wirken sich positiv auf das Wohlbefinden aus. Ausreichender Schlaf unterstützt Konzentration und Erholung. Bei starken oder anhaltenden Symptomen ist professionelle Beratung notwendig. Eine ausgewogene Mahlzeit enthält Gemüse, Eiweiß und komplexe Kohlenhydrate."
test-00004,test,1,near_duplicate,add_sentence,doc-0281,doc-0281-variant,education,education,"Kurze Tests zeigen, welche Begriffe noch unsicher sind. Regelmäßige Wiederholung verbessert die langfristige Erinnerung. Die Auswertung unterscheidet zwischen Erkennen und selbstständigem Anwenden. Neue Aufgaben sollten bekannte Inhalte in einem anderen Kontext prüfen. Die Gruppe diskutiert verschiedene Lösungen und begründet ihre Wahl. Ein strukturierter Lernplan reduziert unnötige Wiederholungen. Eine klare Rückmeldung hilft beim Korrigieren typischer Fehler. Digitale Übungen können den individuellen Lernfortschritt sichtbar machen.","Die Lehrkraft verbindet Grammatik mit konkreten Alltagssituationen. Kurze Tests zeigen, welche Begriffe noch unsicher sind. Regelmäßige Wiederholung verbessert die langfristige Erinnerung. Die Auswertung unterscheidet zwischen Erkennen und selbstständigem Anwenden. Neue Aufgaben sollten bekannte Inhalte in einem anderen Kontext prüfen. Die Gruppe diskutiert verschiedene Lösungen und begründet ihre Wahl. Ein strukturierter Lernplan reduziert unnötige Wiederholungen. Eine klare Rückmeldung hilft beim Korrigieren typischer Fehler. Digitale Übungen können den individuellen Lernfortschritt sichtbar machen."
test-00005,test,1,near_duplicate,combined_light,doc-0266,doc-0266-variant,work,work,"Neue Mitarbeitende erhalten eine strukturierte Einführung. Eine realistische Planung berücksichtigt auch unerwartete Probleme. Regelmäßige Gespräche verbessern die Zusammenarbeit im Team. Wissen wird in verständlichen Dokumenten für andere festgehalten. Ein ruhiger Arbeitsplatz unterstützt konzentriertes Arbeiten. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben.","Aktuelle Mitarbeitende erhalten eine strukturierte Einführung. Eine realistische Planung berücksichtigt auch unerwartete Probleme. Regelmäßige Gespräche verbessern die Zusammenarbeit im Ein ruhiger Arbeitsplatz unterstützt konzentriertes Arbeiten. Wissen wird in verständlichen Dokumenten für andere festgehalten. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben."
test-00006,test,1,near_duplicate,add_sentence,doc-0296,doc-0296-variant,work,work,"Wissen wird in verständlichen Dokumenten für andere festgehalten. Klare Zuständigkeiten verhindern doppelte Arbeit. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben. Eine realistische Planung berücksichtigt auch unerwartete Probleme. Automatisierung reduziert wiederkehrende manuelle Tätigkeiten. Ein kurzes Protokoll hält Entscheidungen und offene Punkte fest. Ein ruhiger Arbeitsplatz unterstützt konzentriertes Arbeiten. Das Team bespricht am Morgen die wichtigsten Aufgaben des Tages.","Rückfragen werden möglichst früh und konkret formuliert. Wissen wird in verständlichen Dokumenten für andere festgehalten. Klare Zuständigkeiten verhindern doppelte Arbeit. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben. Eine realistische Planung berücksichtigt auch unerwartete Probleme. Automatisierung reduziert wiederkehrende manuelle Tätigkeiten. Ein kurzes Protokoll hält Entscheidungen und offene Punkte fest. Ein ruhiger Arbeitsplatz unterstützt konzentriertes Arbeiten. Das Team bespricht am Morgen die wichtigsten Aufgaben des Tages."
test-00007,test,1,near_duplicate,add_sentence,doc-0282,doc-0282-variant,technology,technology,Die Architektur trennt Geschäftslogik und Benutzerschnittstelle. Das Entwicklungsteam überwacht die Anwendung mit automatisierten Metriken. Ein Versionssystem dokumentiert jede Änderung am Quellcode. Die Konfiguration wird getrennt vom Programmcode verwaltet. Der Dienst verarbeitet viele kleine Anfragen parallel. Ein Cache verkürzt die Antwortzeit bei häufigen Abfragen. Die Anwendung kann einzelne Module unabhängig aktualisieren. Eine Warteschlange entkoppelt langsame Hintergrundaufgaben.,Die Architektur trennt Geschäftslogik und Benutzerschnittstelle. Das Entwicklungsteam überwacht die Anwendung mit automatisierten Metriken. Ein Versionssystem dokumentiert jede Änderung am Quellcode. Die Konfiguration wird getrennt vom Programmcode verwaltet. Eine stabile Schnittstelle erleichtert die Integration neuer Komponenten. Der Dienst verarbeitet viele kleine Anfragen parallel. Ein Cache verkürzt die Antwortzeit bei häufigen Abfragen. Die Anwendung kann einzelne Module unabhängig aktualisieren. Eine Warteschlange entkoppelt langsame Hintergrundaufgaben.
test-00008,test,0,easy_negative_different_topic,none,doc-0277,doc-0276,science,work,Die Genauigkeit steigt häufig mit der Zahl sauberer Beobachtungen. Eine Hypothese muss durch beobachtbare Daten überprüfbar sein. Neue Ergebnisse werden mit früheren Studien verglichen. Die Analyse trennt Korrelation und tatsächliche Ursache. Eine grafische Darstellung macht auffällige Muster sichtbar. Das Experiment wird unter denselben Bedingungen mehrfach wiederholt. Offene Daten erleichtern die unabhängige Überprüfung einer Untersuchung.,"Automatisierung reduziert wiederkehrende manuelle Tätigkeiten. Pausen und feste Arbeitszeiten helfen, langfristig leistungsfähig zu bleiben. Regelmäßige Gespräche verbessern die Zusammenarbeit im Team. Die Qualität eines Ergebnisses wird anhand vorher definierter Kriterien geprüft. Wissen wird in verständlichen Dokumenten für andere festgehalten. Rückfragen werden möglichst früh und konkret formuliert. Das Team bespricht am Morgen die wichtigsten Aufgaben des Tages."
test-00009,test,1,near_duplicate,delete_words,doc-0290,doc-0290-variant,daily_life,daily_life,Eine Erinnerung im Kalender hilft bei wichtigen Terminen. Kleine Reparaturen werden möglichst früh erledigt. Das Paket kann am Abend in einer Abholstation abgeholt werden. Am Morgen öffnet die Bäckerei bereits vor sieben Uhr. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert. Die Familie plant die Einkäufe für die gesamte Woche.,Eine Erinnerung im Kalender hilft bei wichtigen Terminen. Kleine Reparaturen möglichst früh erledigt. Das Paket kann am Abend in einer Abholstation abgeholt werden. Am Morgen öffnet die Bäckerei bereits vor sieben Uhr. Vor dem Urlaub werden Fenster und Geräte kontrolliert. Die Familie plant die für die gesamte Woche.
test-00010,test,0,easy_negative_different_topic,none,doc-0269,doc-0244,sports,health,Das Team analysiert nach dem Spiel erfolgreiche und schwache Situationen. Krafttraining ergänzt viele Ausdauersportarten sinnvoll. Der Trainer passt die Belastung an den aktuellen Leistungsstand an. Eine ausgewogene Ernährung unterstützt Training und Regeneration. Gemeinsame Ziele stärken die Motivation innerhalb der Gruppe. Messbare Zwischenziele machen Fortschritte besser sichtbar. Ausdauer entsteht durch langfristiges und gleichmäßiges Training.,Gesundheitsdaten sollten vertraulich und nachvollziehbar verarbeitet werden. Eine gute Körperhaltung entlastet Rücken und Schultern. Ein realistischer Trainingsplan verhindert unnötige Überlastung. Sauberes Trinkwasser ist eine wichtige Grundlage der Gesundheit. Kleine Gewohnheiten sind oft leichter dauerhaft umzusetzen. Soziale Kontakte wirken sich positiv auf das Wohlbefinden aus.
